Time, z, vz, sphericity, size
0.877500, 0.757101, 0.334627, 1.007229, 0.000000
0.880000, 0.757914, 0.334503, 1.007221, 0.000000
0.882500, 0.758724, 0.334377, 1.007213, 0.000000
0.885000, 0.759533, 0.334247, 1.007206, 0.000000
0.887500, 0.760340, 0.334112, 1.007200, 0.000000
0.890000, 0.761145, 0.333972, 1.007196, 0.000000
0.892500, 0.761950, 0.333825, 1.007194, 0.000000
0.895000, 0.762753, 0.333672, 1.007192, 0.000000
0.897500, 0.763557, 0.333513, 1.007193, 0.000000
0.900000, 0.764360, 0.333349, 1.007195, 0.000000
0.902500, 0.765164, 0.333179, 1.007200, 0.000000
0.905000, 0.765970, 0.333003, 1.007206, 0.000000
0.907500, 0.766777, 0.332821, 1.007214, 0.000000
0.910000, 0.767586, 0.332634, 1.007223, 0.000000
0.912500, 0.768397, 0.332443, 1.007231, 0.000000
0.915000, 0.769211, 0.332249, 1.007240, 0.000000
0.917500, 0.770026, 0.332053, 1.007247, 0.000000
0.920000, 0.770843, 0.331856, 1.007254, 0.000000
0.922500, 0.771663, 0.331660, 1.007261, 0.000000
0.925000, 0.772484, 0.331466, 1.007266, 0.000000
0.927500, 0.773306, 0.331276, 1.007272, 0.000000
0.930000, 0.774131, 0.331090, 1.007276, 0.000000
0.932500, 0.774957, 0.330910, 1.007280, 0.000000
0.935000, 0.775785, 0.330738, 1.007283, 0.000000
0.937500, 0.776613, 0.330574, 1.007286, 0.000000
0.940000, 0.777444, 0.330421, 1.007288, 0.000000
0.942500, 0.778276, 0.330276, 1.007292, 0.000000
0.945000, 0.779110, 0.330142, 1.007296, 0.000000
0.947500, 0.779947, 0.330017, 1.007301, 0.000000
0.950000, 0.780785, 0.329902, 1.007306, 0.000000
0.952500, 0.781626, 0.329795, 1.007311, 0.000000
0.955000, 0.782470, 0.329695, 1.007317, 0.000000
0.957500, 0.783315, 0.329601, 1.007323, 0.000000
0.960000, 0.784164, 0.329511, 1.007330, 0.000000
0.962500, 0.785014, 0.329425, 1.007335, 0.000000
0.965000, 0.785866, 0.329342, 1.007339, 0.000000
0.967500, 0.786719, 0.329266, 1.007341, 0.000000
0.970000, 0.787573, 0.329194, 1.007341, 0.000000
0.972500, 0.788427, 0.329128, 1.007340, 0.000000
0.975000, 0.789282, 0.329066, 1.007337, 0.000000
0.977500, 0.790136, 0.329009, 1.007333, 0.000000
0.980000, 0.790989, 0.328954, 1.007328, 0.000000
0.982500, 0.791841, 0.328901, 1.007322, 0.000000
0.985000, 0.792692, 0.328849, 1.007315, 0.000000
0.987500, 0.793541, 0.328794, 1.007306, 0.000000
0.990000, 0.794388, 0.328736, 1.007297, 0.000000
0.992500, 0.795233, 0.328672, 1.007286, 0.000000
0.995000, 0.796075, 0.328600, 1.007274, 0.000000
0.997500, 0.796914, 0.328521, 1.007260, 0.000000
1.000000, 0.797750, 0.328434, 1.007247, 0.000000
1.002500, 0.798582, 0.328339, 1.007232, 0.000000
1.005000, 0.799411, 0.328236, 1.007216, 0.000000
1.007500, 0.800237, 0.328126, 1.007200, 0.000000
1.010000, 0.801058, 0.328010, 1.007185, 0.000000
1.012500, 0.801877, 0.327888, 1.007172, 0.000000
1.015000, 0.802692, 0.327761, 1.007160, 0.000000
1.017500, 0.803504, 0.327630, 1.007149, 0.000000
1.020000, 0.804314, 0.327496, 1.007139, 0.000000
1.022500, 0.805122, 0.327360, 1.007129, 0.000000
1.025000, 0.805927, 0.327225, 1.007122, 0.000000
1.027500, 0.806730, 0.327090, 1.007113, 0.000000
1.030000, 0.807531, 0.326956, 1.007105, 0.000000
1.032500, 0.808329, 0.326822, 1.007097, 0.000000
1.035000, 0.809126, 0.326691, 1.007089, 0.000000
1.037500, 0.809920, 0.326562, 1.007081, 0.000000
1.040000, 0.810712, 0.326434, 1.007073, 0.000000
1.042500, 0.811502, 0.326308, 1.007066, 0.000000
1.045000, 0.812290, 0.326184, 1.007059, 0.000000
1.047500, 0.813076, 0.326061, 1.007052, 0.000000
1.050000, 0.813860, 0.325937, 1.007046, 0.000000
1.052500, 0.814643, 0.325812, 1.007042, 0.000000
1.055000, 0.815425, 0.325682, 1.007040, 0.000000
1.057500, 0.816207, 0.325551, 1.007040, 0.000000
1.060000, 0.816988, 0.325417, 1.007040, 0.000000
1.062500, 0.817770, 0.325281, 1.007042, 0.000000
1.065000, 0.818552, 0.325142, 1.007046, 0.000000
1.067500, 0.819336, 0.325001, 1.007051, 0.000000
1.070000, 0.820121, 0.324856, 1.007057, 0.000000
1.072500, 0.820908, 0.324708, 1.007065, 0.000000
1.075000, 0.821697, 0.324558, 1.007072, 0.000000
1.077500, 0.822488, 0.324408, 1.007080, 0.000000
1.080000, 0.823281, 0.324258, 1.007086, 0.000000
1.082500, 0.824076, 0.324110, 1.007092, 0.000000
1.085000, 0.824873, 0.323963, 1.007096, 0.000000
1.087500, 0.825670, 0.323821, 1.007100, 0.000000
1.090000, 0.826470, 0.323685, 1.007103, 0.000000
1.092500, 0.827270, 0.323555, 1.007105, 0.000000
1.095000, 0.828072, 0.323435, 1.007107, 0.000000
1.097500, 0.828875, 0.323325, 1.007107, 0.000000
1.100000, 0.829678, 0.323225, 1.007107, 0.000000
1.102500, 0.830483, 0.323137, 1.007110, 0.000000
1.105000, 0.831290, 0.323062, 1.007114, 0.000000
1.107500, 0.832098, 0.322997, 1.007120, 0.000000
1.110000, 0.832909, 0.322945, 1.007127, 0.000000
1.112500, 0.833722, 0.322906, 1.007135, 0.000000
1.115000, 0.834538, 0.322878, 1.007143, 0.000000
1.117500, 0.835356, 0.322862, 1.007152, 0.000000
1.120000, 0.836176, 0.322854, 1.007161, 0.000000
1.122500, 0.837000, 0.322853, 1.007170, 0.000000
1.125000, 0.837825, 0.322854, 1.007179, 0.000000
1.127500, 0.838652, 0.322856, 1.007186, 0.000000
1.130000, 0.839481, 0.322857, 1.007193, 0.000000
1.132500, 0.840312, 0.322856, 1.007197, 0.000000
1.135000, 0.841143, 0.322850, 1.007201, 0.000000
1.137500, 0.841974, 0.322838, 1.007203, 0.000000
1.140000, 0.842806, 0.322817, 1.007203, 0.000000
1.142500, 0.843638, 0.322787, 1.007202, 0.000000
1.145000, 0.844468, 0.322746, 1.007199, 0.000000
1.147500, 0.845298, 0.322692, 1.007196, 0.000000
1.150000, 0.846127, 0.322626, 1.007191, 0.000000
